titulo,popularidad,voto_promedio,cantidad_votos,generos
Star Wars: The Last Jedi,44.365,6.8,13984,Adventure;Action;Science Fiction
Harry Potter and the Goblet of Fire,88.319,7.8,18796,Adventure;Fantasy;Family
Batman v Superman: Dawn of Justice,61.788,5.9,16753,Action;Adventure;Fantasy
Arrival,38.874,7.6,16163,Drama;Science Fiction;Mystery
Pirates of the Caribbean: Dead Man's Chest,69.048,7.3,14498,Adventure;Fantasy;Action
Monsters Inc.,93.95,7.8,16766,Animation;Comedy;Family
Hacksaw Ridge,124.57,8.2,12252,Drama;History;War
Léon: The Professional,44.544,8.3,13244,Crime;Drama;Action
The Shining,43.406,8.2,15714,Horror;Thriller
American Sniper,51.579,7.4,11846,War;Action
Zootopia,61.522,7.7,14887,Animation;Adventure;Family;Comedy
Catch Me If You Can,52.04,8.0,13913,Drama;Crime
Star Wars,83.926,8.2,18638,Adventure;Action;Science Fiction
Justice League,55.33,6.1,12021,Action;Adventure;Science Fiction
Harry Potter and the Deathly Hallows: Part 1,92.27,7.8,17356,Adventure;Fantasy
Mad Max: Fury Road,51.544,7.6,20527,Action;Adventure;Science Fiction
Passengers,23.947,6.9,12169,Drama;Romance;Science Fiction
Pirates of the Caribbean: On Stranger Tides,89.125,6.5,12831,Adventure;Action;Fantasy
The Hunger Games: Mockingjay - Part 2,49.212,6.9,11295,Action;Adventure;Science Fiction
Guardians of the Galaxy,197.97,7.9,26011,Action;Science Fiction;Adventure
The Hunger Games,34.018,7.2,20242,Science Fiction;Adventure;Fantasy
Spider-Man 3,61.858,6.4,12693,Fantasy;Action;Adventure
Alice in Wonderland,53.274,6.6,12870,Family;Fantasy;Adventure
The Lord of the Rings: The Two Towers,62.493,8.4,19727,Adventure;Fantasy;Action
Kill Bill: Vol. 1,32.571,8.0,15797,Action;Crime
Life of Pi,37.202,7.4,12203,Adventure;Drama
A Quiet Place,50.733,7.4,12731,Horror;Drama;Science Fiction
The Prestige,35.292,8.2,14178,Drama;Mystery;Science Fiction
Star Wars: Episode II - Attack of the Clones,34.52,6.6,11972,Adventure;Action;Science Fiction
Incredibles 2,56.315,7.5,11785,Action;Adventure;Animation;Family
The Hobbit: The Battle of the Five Armies,75.51,7.3,12992,Action;Adventure;Fantasy
Up,67.308,7.9,18409,Animation;Comedy;Family;Adventure
Shrek,125.866,7.7,15331,Animation;Comedy;Fantasy;Adventure;Family
Pirates of the Caribbean: At World's End,70.38,7.2,13011,Adventure;Fantasy;Action
Iron Man,64.001,7.6,24343,Action;Science Fiction;Adventure
The Amazing Spider-Man 2,77.261,6.5,11987,Action;Adventure;Fantasy
Inglourious Basterds,54.205,8.2,20206,Drama;Thriller;War
Pacific Rim,61.279,6.9,11302,Action;Science Fiction;Adventure
The Imitation Game,41.125,8.0,15599,History;Drama;Thriller;War
Star Wars: Episode III - Revenge of the Sith,35.246,7.4,12419,Adventure;Action;Science Fiction
Donnie Darko,28.001,7.8,11213,Fantasy;Drama;Mystery
V for Vendetta,28.474,7.9,13220,Action;Thriller;Science Fiction
Harry Potter and the Chamber of Secrets,100.534,7.7,19876,Adventure;Fantasy
A Clockwork Orange,25.787,8.2,11600,Science Fiction;Drama
Her,30.258,7.9,13110,Romance;Science Fiction;Drama
The Matrix,66.107,8.2,23198,Action;Science Fiction
Wreck-It Ralph,49.114,7.3,11300,Family;Animation;Comedy;Adventure
Fantastic Beasts and Where to Find Them,38.351,7.3,17622,Fantasy;Adventure;Family
Edge of Tomorrow,39.889,7.6,12492,Action;Science Fiction
Maleficent,43.956,7.1,12259,Fantasy;Adventure;Action;Family;Romance
The Godfather,114.411,8.7,17948,Drama;Crime
The Truman Show,46.026,8.1,16242,Comedy;Drama
Captain America: Civil War,65.14,7.4,21104,Adventure;Action;Science Fiction
The Hangover,71.392,7.3,15445,Comedy
Deadpool,119.717,7.6,28364,Action;Adventure;Comedy
Spider-Man: Far From Home,63.675,7.5,14010,Action;Adventure;Science Fiction
Bohemian Rhapsody,39.309,8.0,15668,Music;Drama;History
Harry Potter and the Prisoner of Azkaban,88.795,8.0,19507,Adventure;Fantasy
Fight Club,74.721,8.4,26434,Drama;Thriller;Comedy
Avatar,181.829,7.6,29096,Action;Adventure;Fantasy;Science Fiction
The Revenant,39.421,7.5,16783,Western;Drama;Adventure
Inside Out,69.766,7.9,19023,Animation;Family;Adventure;Drama;Comedy
The Wolf of Wall Street,101.224,8.0,21588,Crime;Drama;Comedy
Se7en,43.923,8.4,18774,Crime;Mystery;Thriller
It,52.433,7.2,17585,Horror;Fantasy
Iron Man 2,76.078,6.8,19279,Adventure;Action;Science Fiction
Baby Driver,77.645,7.5,14293,Action;Crime
The Hunger Games: Mockingjay - Part 1,83.625,6.8,14400,Science Fiction;Adventure;Thriller
Deadpool 2,74.289,7.5,15906,Action;Comedy;Adventure
Gone Girl,41.957,7.9,16954,Mystery;Thriller;Drama
Divergent,39.742,6.9,11908,Action;Adventure;Science Fiction
The Hunger Games: Catching Fire,64.026,7.4,15838,Adventure;Action;Science Fiction
Star Wars: Episode I - The Phantom Menace,35.029,6.5,13198,Adventure;Action;Science Fiction
Memento,30.238,8.2,13292,Mystery;Thriller
The Green Mile,84.597,8.5,15408,Fantasy;Drama;Crime
The Grand Budapest Hotel,32.82,8.1,13390,Comedy;Drama
Men in Black,48.534,7.2,12492,Action;Adventure;Comedy;Science Fiction
Wonder Woman,50.753,7.2,18632,Action;Adventure;Fantasy
The Lion King,79.816,8.3,16537,Family;Animation;Drama
The Curious Case of Benjamin Button,26.773,7.6,11575,Drama;Fantasy;Romance
300,41.503,7.2,12531,Action;Adventure;War
Drive,35.15,7.6,11364,Drama;Thriller;Crime
Thor: The Dark World,58.917,6.5,15998,Action;Adventure;Fantasy
Dunkirk,28.851,7.5,15047,War;Action;Drama
GoodFellas,42.326,8.5,11257,Drama;Crime
Pirates of the Caribbean: The Curse of the Black Pearl,77.407,7.8,18758,Adventure;Fantasy;Action
Beauty and the Beast,50.531,7.0,14667,Family;Fantasy;Romance
Ice Age,92.17,7.3,11974,Animation;Comedy;Family;Adventure
Ted,48.234,6.4,11258,Comedy;Fantasy
La La Land,27.716,7.9,15252,Comedy;Drama;Romance;Music
Venom,70.454,6.8,14380,Science Fiction;Action
How to Train Your Dragon,47.791,7.8,11783,Fantasy;Adventure;Animation;Family
Interstellar,136.143,8.4,31406,Adventure;Drama;Science Fiction
Spider-Man: No Way Home,275.25,8.0,17375,Action;Adventure;Science Fiction
Gladiator,46.927,8.2,16465,Action;Drama;Adventure
Avengers: Age of Ultron,81.696,7.3,21292,Action;Adventure;Science Fiction
The Shape of Water,27.296,7.2,11287,Drama;Fantasy;Romance
Kingsman: The Secret Service,62.662,7.6,15329,Crime;Comedy;Action;Adventure
Jurassic World,62.942,6.7,19063,Action;Adventure;Science Fiction;Thriller
Spider-Man: Homecoming,83.62,7.3,19992,Action;Adventure;Science Fiction;Drama
The Lord of the Rings: The Fellowship of the Ring,69.453,8.4,22690,Adventure;Fantasy;Action
Back to the Future Part II,33.822,7.8,11490,Adventure;Comedy;Science Fiction
Gravity,23.09,7.2,14180,Science Fiction;Thriller;Drama
Joker,70.491,8.2,22735,Crime;Thriller;Drama
Sherlock Holmes,31.524,7.2,12924,Action;Adventure;Crime;Mystery
Captain America: The Winter Soldier,29.103,7.7,17296,Action;Adventure;Science Fiction
The Incredibles,71.88,7.7,16222,Action;Adventure;Animation;Family
Shutter Island,50.847,8.2,21700,Drama;Thriller;Mystery
Harry Potter and the Deathly Hallows: Part 2,91.281,8.1,18720,Fantasy;Adventure
The Departed,31.499,8.2,13413,Drama;Thriller;Crime
Charlie and the Chocolate Factory,68.32,7.0,13614,Adventure;Comedy;Family;Fantasy
Brave,51.082,7.0,12326,Animation;Adventure;Comedy;Family;Action;Fantasy
Kill Bill: Vol. 2,26.79,7.9,12614,Action;Crime;Thriller
Get Out,39.647,7.6,15636,Mystery;Thriller;Horror
Return of the Jedi,23.55,7.9,14212,Adventure;Action;Science Fiction
Finding Nemo,67.52,7.8,17662,Animation;Family
The Amazing Spider-Man,85.735,6.7,15978,Action;Adventure;Fantasy
The Terminator,56.095,7.6,11480,Action;Thriller;Science Fiction
John Wick,137.934,7.4,17346,Action;Thriller
Eternal Sunshine of the Spotless Mind,48.224,8.1,13364,Science Fiction;Drama;Romance
The Hobbit: The Desolation of Smaug,44.968,7.6,11980,Fantasy;Adventure;Action
Doctor Strange,70.835,7.4,20469,Action;Adventure;Fantasy
Aquaman,67.073,6.9,12632,Action;Adventure;Fantasy
Back to the Future,53.262,8.3,17923,Adventure;Comedy;Science Fiction
I Am Legend,50.82,7.2,14338,Drama;Science Fiction;Thriller
Avengers: Infinity War,181.068,8.3,26900,Adventure;Action;Science Fiction
The Empire Strikes Back,31.511,8.4,15353,Adventure;Action;Science Fiction
Black Panther,53.963,7.4,20632,Action;Adventure;Science Fiction
Once Upon a Time… in Hollywood,41.541,7.4,11809,Comedy;Drama;Thriller
The Dark Knight Rises,56.733,7.8,20817,Action;Crime;Drama;Thriller
Split,48.138,7.3,15976,Horror;Thriller
Harry Potter and the Half-Blood Prince,114.802,7.7,17674,Adventure;Fantasy
Thor: Ragnarok,71.708,7.6,19089,Action;Adventure;Fantasy;Science Fiction;Comedy
Ant-Man and the Wasp,49.325,7.0,12177,Action;Adventure;Science Fiction
Toy Story,84.513,8.0,16696,Animation;Adventure;Family;Comedy
Logan,50.411,7.8,17750,Action;Drama;Science Fiction
Harry Potter and the Order of the Phoenix,86.335,7.7,17729,Adventure;Fantasy;Mystery
Terminator 2: Judgment Day,64.254,8.1,11336,Action;Thriller;Science Fiction
Ratatouille,92.856,7.8,15265,Animation;Comedy;Family;Fantasy
Spider-Man: Into the Spider-Verse,150.536,8.4,12739,Action;Adventure;Animation;Science Fiction
The Avengers,100.691,7.7,28600,Science Fiction;Action;Adventure
Suicide Squad,54.228,5.9,19780,Action;Adventure;Fantasy
Twilight,72.518,6.3,12393,Fantasy;Drama;Romance
Harry Potter and the Philosopher's Stone,119.831,7.9,24761,Adventure;Fantasy
Man of Steel,53.902,6.6,13995,Action;Adventure;Science Fiction
Ex Machina,38.019,7.6,12088,Drama;Science Fiction
The Martian,48.229,7.7,18136,Drama;Adventure;Science Fiction
The Great Gatsby,32.304,7.4,11265,Drama;Romance
Frozen,77.24,7.2,15178,Animation;Family;Adventure;Fantasy
The Hobbit: An Unexpected Journey,55.68,7.3,17031,Adventure;Fantasy;Action
